series_id	year	period	value	footnote_codes
CUUR0400AA0      	1966	M12	        53.3	          
CUUR0400AA0      	1967	M03	        53.2	          
CUUR0400AA0      	1967	M06	        53.8	          
CUUR0400AA0      	1967	M09	        54.5	          
CUUR0400AA0      	1967	M12	        54.9	          
CUUR0400AA0      	1967	M13	        53.9	          
CUUR0400AA0      	1968	M03	        55.3	          
CUUR0400AA0      	1968	M06	        55.8	          
CUUR0400AA0      	1968	M09	        56.3	          
CUUR0400AA0      	1968	M12	        57.0	          
CUUR0400AA0      	1968	M13	        55.9	          
CUUR0400AA0      	1969	M03	        57.8	          
CUUR0400AA0      	1969	M06	        58.6	          
CUUR0400AA0      	1969	M09	        59.2	          
CUUR0400AA0      	1969	M12	        60.0	          
CUUR0400AA0      	1969	M13	        58.7	          
CUUR0400AA0      	1970	M03	        60.7	          
CUUR0400AA0      	1970	M06	        61.6	          
CUUR0400AA0      	1970	M09	        62.3	          
CUUR0400AA0      	1970	M12	        63.0	          
CUUR0400AA0      	1970	M13	        61.7	          
CUUR0400AA0      	1971	M03	        63.1	          
CUUR0400AA0      	1971	M06	        63.8	          
CUUR0400AA0      	1971	M09	        64.3	          
CUUR0400AA0      	1971	M12	        64.7	          
CUUR0400AA0      	1971	M13	        63.8	          
CUUR0400AA0      	1972	M03	        65.2	          
CUUR0400AA0      	1972	M06	        65.6	          
CUUR0400AA0      	1972	M09	        66.3	          
CUUR0400AA0      	1972	M12	        67.0	          
CUUR0400AA0      	1972	M13	        65.9	          
CUUR0400AA0      	1973	M03	        68.1	          
CUUR0400AA0      	1973	M06	        69.4	          
CUUR0400AA0      	1973	M09	        70.9	          
CUUR0400AA0      	1973	M12	        72.3	          
CUUR0400AA0      	1973	M13	        69.7	          
CUUR0400AA0      	1974	M03	        74.3	          
CUUR0400AA0      	1974	M06	        76.6	          
CUUR0400AA0      	1974	M09	        79.1	          
CUUR0400AA0      	1974	M12	        81.4	          
CUUR0400AA0      	1974	M13	        77.1	          
CUUR0400AA0      	1975	M03	        83.3	          
CUUR0400AA0      	1975	M06	        84.8	          
CUUR0400AA0      	1975	M09	        86.4	          
CUUR0400AA0      	1975	M12	        87.9	          
CUUR0400AA0      	1975	M13	        85.1	          
CUUR0400AA0      	1976	M03	        88.5	          
CUUR0400AA0      	1976	M06	        89.9	          
CUUR0400AA0      	1976	M09	        91.5	          
CUUR0400AA0      	1976	M12	        92.7	          
CUUR0400AA0      	1976	M13	        90.2	          
CUUR0400AA0      	1977	M03	        94.7	          
CUUR0400AA0      	1977	M06	        96.9	          
CUUR0400AA0      	1977	M09	        98.3	          
CUUR0400AA0      	1977	M12	       100.0	          
CUUR0400AA0      	1977	M13	        96.9	          
CUUR0400AA0      	1978	M02	       101.2	          
CUUR0400AA0      	1978	M04	       103.1	          
CUUR0400AA0      	1978	M06	       105.2	          
CUUR0400AA0      	1978	M08	       106.5	          
CUUR0400AA0      	1978	M10	       108.3	          
CUUR0400AA0      	1978	M12	       108.4	          
CUUR0400AA0      	1978	M13	       105.1	          
CUUR0400AA0      	1979	M02	       111.0	          
CUUR0400AA0      	1979	M04	       113.8	          
CUUR0400AA0      	1979	M06	       116.7	          
CUUR0400AA0      	1979	M08	       119.4	          
CUUR0400AA0      	1979	M10	       121.9	          
CUUR0400AA0      	1979	M12	       125.1	          
CUUR0400AA0      	1979	M13	       117.3	          
CUUR0400AA0      	1980	M02	       129.4	          
CUUR0400AA0      	1980	M04	       132.7	          
CUUR0400AA0      	1980	M06	       135.5	          
CUUR0400AA0      	1980	M08	       135.6	          
CUUR0400AA0      	1980	M10	       137.9	          
CUUR0400AA0      	1980	M12	       140.4	          
CUUR0400AA0      	1980	M13	       134.6	          
CUUR0400AA0      	1981	M02	       142.6	          
CUUR0400AA0      	1981	M04	       145.2	          
CUUR0400AA0      	1981	M06	       147.3	          
CUUR0400AA0      	1981	M08	       150.7	          
CUUR0400AA0      	1981	M10	       154.5	          
CUUR0400AA0      	1981	M12	       154.2	          
CUUR0400AA0      	1981	M13	       148.5	          
CUUR0400AA0      	1982	M02	       156.1	          
CUUR0400AA0      	1982	M04	       156.9	          
CUUR0400AA0      	1982	M06	       158.5	          
CUUR0400AA0      	1982	M08	       159.0	          
CUUR0400AA0      	1982	M10	       158.9	          
CUUR0400AA0      	1982	M12	       156.2	          
CUUR0400AA0      	1982	M13	       157.5	          
CUUR0400AA0      	1983	M02	       156.9	          
CUUR0400AA0      	1983	M04	       158.0	          
CUUR0400AA0      	1983	M06	       160.2	          
CUUR0400AA0      	1983	M08	       161.5	          
CUUR0400AA0      	1983	M10	       162.5	          
CUUR0400AA0      	1983	M12	       162.8	          
CUUR0400AA0      	1983	M13	       160.0	          
CUUR0400AA0      	1984	M02	       164.3	          
CUUR0400AA0      	1984	M04	       165.8	          
CUUR0400AA0      	1984	M06	       167.4	          
CUUR0400AA0      	1984	M08	       168.5	          
CUUR0400AA0      	1984	M10	       170.2	          
CUUR0400AA0      	1984	M12	       170.2	          
CUUR0400AA0      	1984	M13	       167.4	          
CUUR0400AA0      	1985	M02	       171.3	          
CUUR0400AA0      	1985	M04	       173.0	          
CUUR0400AA0      	1985	M06	       174.6	          
CUUR0400AA0      	1985	M08	       175.9	          
CUUR0400AA0      	1985	M10	       176.9	          
CUUR0400AA0      	1985	M12	       177.2	          
CUUR0400AA0      	1985	M13	       174.5	          
CUUR0400AA0      	1986	M02	       177.5	          
CUUR0400AA0      	1986	M04	       176.8	          
CUUR0400AA0      	1986	M06	       178.7	          
CUUR0400AA0      	1986	M08	       179.0	          
CUUR0400AA0      	1986	M10	       180.4	          
CUUR0400AA0      	1986	M12	       179.6	          
CUUR0400AA0      	1986	M13	       178.6	          
CUUR0400AA0      	1987	M01	       180.6	          
CUUR0400AA0      	1987	M02	       182.0	          
CUUR0400AA0      	1987	M03	       182.7	          
CUUR0400AA0      	1987	M04	       183.8	          
CUUR0400AA0      	1987	M05	       184.4	          
CUUR0400AA0      	1987	M06	       184.5	          
CUUR0400AA0      	1987	M07	       184.7	          
CUUR0400AA0      	1987	M08	       185.6	          
CUUR0400AA0      	1987	M09	       186.7	          
CUUR0400AA0      	1987	M10	       187.4	          
CUUR0400AA0      	1987	M11	       187.4	          
CUUR0400AA0      	1987	M12	       187.8	          
CUUR0400AA0      	1987	M13	       184.8	          
CUUR0400AA0      	1988	M01	       188.7	          
CUUR0400AA0      	1988	M02	       188.9	          
CUUR0400AA0      	1988	M03	       189.9	          
CUUR0400AA0      	1988	M04	       190.5	          
CUUR0400AA0      	1988	M05	       191.5	          
CUUR0400AA0      	1988	M06	       191.9	          
CUUR0400AA0      	1988	M07	       192.6	          
CUUR0400AA0      	1988	M08	       193.4	          
CUUR0400AA0      	1988	M09	       194.2	          
CUUR0400AA0      	1988	M10	       195.1	          
CUUR0400AA0      	1988	M11	       195.2	          
CUUR0400AA0      	1988	M12	       195.4	          
CUUR0400AA0      	1988	M13	       192.3	          
CUUR0400AA0      	1989	M01	       196.7	          
CUUR0400AA0      	1989	M02	       197.7	          
CUUR0400AA0      	1989	M03	       199.0	          
