series_id	year	period	value	footnote_codes
CUSR0000SAH      	1967	M01	        30.5	          
CUSR0000SAH      	1967	M02	        30.5	          
CUSR0000SAH      	1967	M03	        30.5	          
CUSR0000SAH      	1967	M04	        30.6	          
CUSR0000SAH      	1967	M05	        30.7	          
CUSR0000SAH      	1967	M06	        30.7	          
CUSR0000SAH      	1967	M07	        30.8	          
CUSR0000SAH      	1967	M08	        30.9	          
CUSR0000SAH      	1967	M09	        31.0	          
CUSR0000SAH      	1967	M10	        31.0	          
CUSR0000SAH      	1967	M11	        31.1	          
CUSR0000SAH      	1967	M12	        31.2	          
CUSR0000SAH      	1968	M01	        31.3	          
CUSR0000SAH      	1968	M02	        31.4	          
CUSR0000SAH      	1968	M03	        31.5	          
CUSR0000SAH      	1968	M04	        31.6	          
CUSR0000SAH      	1968	M05	        31.7	          
CUSR0000SAH      	1968	M06	        31.9	          
CUSR0000SAH      	1968	M07	        32.1	          
CUSR0000SAH      	1968	M08	        32.3	          
CUSR0000SAH      	1968	M09	        32.4	          
CUSR0000SAH      	1968	M10	        32.5	          
CUSR0000SAH      	1968	M11	        32.7	          
CUSR0000SAH      	1968	M12	        32.9	          
CUSR0000SAH      	1969	M01	        33.0	          
CUSR0000SAH      	1969	M02	        33.1	          
CUSR0000SAH      	1969	M03	        33.4	          
CUSR0000SAH      	1969	M04	        33.6	          
CUSR0000SAH      	1969	M05	        33.7	          
CUSR0000SAH      	1969	M06	        33.9	          
CUSR0000SAH      	1969	M07	        34.1	          
CUSR0000SAH      	1969	M08	        34.3	          
CUSR0000SAH      	1969	M09	        34.5	          
CUSR0000SAH      	1969	M10	        34.7	          
CUSR0000SAH      	1969	M11	        34.8	          
CUSR0000SAH      	1969	M12	        35.0	          
CUSR0000SAH      	1970	M01	        35.1	          
CUSR0000SAH      	1970	M02	        35.4	          
CUSR0000SAH      	1970	M03	        35.8	          
CUSR0000SAH      	1970	M04	        35.9	          
CUSR0000SAH      	1970	M05	        36.1	          
CUSR0000SAH      	1970	M06	        36.3	          
CUSR0000SAH      	1970	M07	        36.5	          
CUSR0000SAH      	1970	M08	        36.6	          
CUSR0000SAH      	1970	M09	        36.9	          
CUSR0000SAH      	1970	M10	        37.1	          
CUSR0000SAH      	1970	M11	        37.3	          
CUSR0000SAH      	1970	M12	        37.4	          
CUSR0000SAH      	1971	M01	        37.5	          
CUSR0000SAH      	1971	M02	        37.5	          
CUSR0000SAH      	1971	M03	        37.4	          
CUSR0000SAH      	1971	M04	        37.4	          
CUSR0000SAH      	1971	M05	        37.6	          
CUSR0000SAH      	1971	M06	        37.9	          
CUSR0000SAH      	1971	M07	        38.1	          
CUSR0000SAH      	1971	M08	        38.2	          
CUSR0000SAH      	1971	M09	        38.4	          
CUSR0000SAH      	1971	M10	        38.5	          
CUSR0000SAH      	1971	M11	        38.6	          
CUSR0000SAH      	1971	M12	        38.7	          
CUSR0000SAH      	1972	M01	        38.9	          
CUSR0000SAH      	1972	M02	        39.0	          
CUSR0000SAH      	1972	M03	        39.0	          
CUSR0000SAH      	1972	M04	        39.1	          
CUSR0000SAH      	1972	M05	        39.2	          
CUSR0000SAH      	1972	M06	        39.4	          
CUSR0000SAH      	1972	M07	        39.6	          
CUSR0000SAH      	1972	M08	        39.7	          
CUSR0000SAH      	1972	M09	        39.8	          
CUSR0000SAH      	1972	M10	        39.8	          
CUSR0000SAH      	1972	M11	        39.9	          
CUSR0000SAH      	1972	M12	        40.1	          
CUSR0000SAH      	1973	M01	        40.1	          
CUSR0000SAH      	1973	M02	        40.2	          
CUSR0000SAH      	1973	M03	        40.4	          
CUSR0000SAH      	1973	M04	        40.5	          
CUSR0000SAH      	1973	M05	        40.6	          
CUSR0000SAH      	1973	M06	        40.9	          
CUSR0000SAH      	1973	M07	        41.0	          
CUSR0000SAH      	1973	M08	        41.3	          
CUSR0000SAH      	1973	M09	        41.7	          
CUSR0000SAH      	1973	M10	        42.1	          
CUSR0000SAH      	1973	M11	        42.5	          
CUSR0000SAH      	1973	M12	        42.8	          
CUSR0000SAH      	1974	M01	        43.3	          
CUSR0000SAH      	1974	M02	        43.6	          
CUSR0000SAH      	1974	M03	        44.1	          
CUSR0000SAH      	1974	M04	        44.4	          
CUSR0000SAH      	1974	M05	        44.9	          
CUSR0000SAH      	1974	M06	        45.4	          
CUSR0000SAH      	1974	M07	        45.9	          
CUSR0000SAH      	1974	M08	        46.5	          
CUSR0000SAH      	1974	M09	        47.1	          
CUSR0000SAH      	1974	M10	        47.7	          
CUSR0000SAH      	1974	M11	        48.1	          
CUSR0000SAH      	1974	M12	        48.6	          
CUSR0000SAH      	1975	M01	        49.0	          
CUSR0000SAH      	1975	M02	        49.4	          
CUSR0000SAH      	1975	M03	        49.7	          
CUSR0000SAH      	1975	M04	        50.0	          
CUSR0000SAH      	1975	M05	        50.2	          
CUSR0000SAH      	1975	M06	        50.5	          
CUSR0000SAH      	1975	M07	        50.7	          
CUSR0000SAH      	1975	M08	        51.0	          
CUSR0000SAH      	1975	M09	        51.3	          
CUSR0000SAH      	1975	M10	        51.5	          
CUSR0000SAH      	1975	M11	        52.0	          
CUSR0000SAH      	1975	M12	        52.3	          
CUSR0000SAH      	1976	M01	        52.6	          
CUSR0000SAH      	1976	M02	        52.8	          
CUSR0000SAH      	1976	M03	        52.9	          
CUSR0000SAH      	1976	M04	        53.1	          
CUSR0000SAH      	1976	M05	        53.2	          
CUSR0000SAH      	1976	M06	        53.5	          
CUSR0000SAH      	1976	M07	        53.8	          
CUSR0000SAH      	1976	M08	        54.1	          
CUSR0000SAH      	1976	M09	        54.4	          
CUSR0000SAH      	1976	M10	        54.6	          
CUSR0000SAH      	1976	M11	        54.8	          
CUSR0000SAH      	1976	M12	        55.1	          
CUSR0000SAH      	1977	M01	        55.6	          
CUSR0000SAH      	1977	M02	        55.9	          
CUSR0000SAH      	1977	M03	        56.2	          
CUSR0000SAH      	1977	M04	        56.5	          
CUSR0000SAH      	1977	M05	        56.8	          
CUSR0000SAH      	1977	M06	        57.1	          
CUSR0000SAH      	1977	M07	        57.6	          
CUSR0000SAH      	1977	M08	        57.9	          
CUSR0000SAH      	1977	M09	        58.3	          
CUSR0000SAH      	1977	M10	        58.6	          
CUSR0000SAH      	1977	M11	        59.0	          
CUSR0000SAH      	1977	M12	        59.4	          
CUSR0000SAH      	1978	M01	        59.7	          
CUSR0000SAH      	1978	M02	        60.1	          
CUSR0000SAH      	1978	M03	        60.5	          
CUSR0000SAH      	1978	M04	        61.0	          
CUSR0000SAH      	1978	M05	        61.6	          
CUSR0000SAH      	1978	M06	        62.1	          
CUSR0000SAH      	1978	M07	        62.7	          
CUSR0000SAH      	1978	M08	        63.1	          
CUSR0000SAH      	1978	M09	        63.8	          
CUSR0000SAH      	1978	M10	        64.5	          
CUSR0000SAH      	1978	M11	        64.9	          
CUSR0000SAH      	1978	M12	        65.2	          
CUSR0000SAH      	1979	M01	        65.7	          
CUSR0000SAH      	1979	M02	        66.5	          
CUSR0000SAH      	1979	M03	        67.0	          
CUSR0000SAH      	1979	M04	        67.7	          
CUSR0000SAH      	1979	M05	        68.4	          
CUSR0000SAH      	1979	M06	        69.3	          
CUSR0000SAH      	1979	M07	        70.2	          
CUSR0000SAH      	1979	M08	        71.2	          
CUSR0000SAH      	1979	M09	        72.1	          
CUSR0000SAH      	1979	M10	        73.1	          
CUSR0000SAH      	1979	M11	        74.2	          
CUSR0000SAH      	1979	M12	        75.2	          
CUSR0000SAH      	1980	M01	        76.2	          
CUSR0000SAH      	1980	M02	        77.2	          
CUSR0000SAH      	1980	M03	        78.3	          
CUSR0000SAH      	1980	M04	        79.4	          
CUSR0000SAH      	1980	M05	        80.5	          
CUSR0000SAH      	1980	M06	        82.0	          
CUSR0000SAH      	1980	M07	        81.5	          
CUSR0000SAH      	1980	M08	        81.8	          
CUSR0000SAH      	1980	M09	        82.3	          
CUSR0000SAH      	1980	M10	        83.4	          
CUSR0000SAH      	1980	M11	        84.4	          
CUSR0000SAH      	1980	M12	        85.5	          
CUSR0000SAH      	1981	M01	        86.1	          
CUSR0000SAH      	1981	M02	        86.6	          
CUSR0000SAH      	1981	M03	        87.1	          
CUSR0000SAH      	1981	M04	        87.8	          
CUSR0000SAH      	1981	M05	        88.8	          
CUSR0000SAH      	1981	M06	        89.8	          
CUSR0000SAH      	1981	M07	        91.3	          
CUSR0000SAH      	1981	M08	        92.2	          
CUSR0000SAH      	1981	M09	        93.4	          
CUSR0000SAH      	1981	M10	        93.4	          
CUSR0000SAH      	1981	M11	        93.8	          
CUSR0000SAH      	1981	M12	        94.1	          
CUSR0000SAH      	1982	M01	        94.4	          
CUSR0000SAH      	1982	M02	        94.7	          
CUSR0000SAH      	1982	M03	        94.6	          
CUSR0000SAH      	1982	M04	        95.4	          
CUSR0000SAH      	1982	M05	        96.7	          
CUSR0000SAH      	1982	M06	        97.7	          
CUSR0000SAH      	1982	M07	        98.1	          
CUSR0000SAH      	1982	M08	        98.4	          
CUSR0000SAH      	1982	M09	        98.2	          
CUSR0000SAH      	1982	M10	        98.6	          
CUSR0000SAH      	1982	M11	        98.3	          
CUSR0000SAH      	1982	M12	        97.5	          
CUSR0000SAH      	1983	M01	        98.0	          
CUSR0000SAH      	1983	M02	        98.2	          
CUSR0000SAH      	1983	M03	        98.3	          
CUSR0000SAH      	1983	M04	        98.9	          
CUSR0000SAH      	1983	M05	        99.1	          
CUSR0000SAH      	1983	M06	        99.3	          
CUSR0000SAH      	1983	M07	        99.7	          
CUSR0000SAH      	1983	M08	        99.8	          
CUSR0000SAH      	1983	M09	       100.1	          
CUSR0000SAH      	1983	M10	       100.4	          
CUSR0000SAH      	1983	M11	       100.8	          
CUSR0000SAH      	1983	M12	       101.0	          
CUSR0000SAH      	1984	M01	       101.5	          
CUSR0000SAH      	1984	M02	       102.1	          
CUSR0000SAH      	1984	M03	       102.3	          
CUSR0000SAH      	1984	M04	       102.9	          
CUSR0000SAH      	1984	M05	       103.1	          
CUSR0000SAH      	1984	M06	       103.3	          
CUSR0000SAH      	1984	M07	       103.9	          
CUSR0000SAH      	1984	M08	       104.2	          
CUSR0000SAH      	1984	M09	       104.7	          
CUSR0000SAH      	1984	M10	       104.9	          
CUSR0000SAH      	1984	M11	       105.1	          
CUSR0000SAH      	1984	M12	       105.3	          
CUSR0000SAH      	1985	M01	       105.5	          
CUSR0000SAH      	1985	M02	       106.0	          
CUSR0000SAH      	1985	M03	       106.4	          
CUSR0000SAH      	1985	M04	       106.7	          
CUSR0000SAH      	1985	M05	       107.4	          
CUSR0000SAH      	1985	M06	       107.6	          
CUSR0000SAH      	1985	M07	       107.9	          
CUSR0000SAH      	1985	M08	       108.3	          
CUSR0000SAH      	1985	M09	       108.5	          
CUSR0000SAH      	1985	M10	       108.9	          
CUSR0000SAH      	1985	M11	       109.5	          
CUSR0000SAH      	1985	M12	       109.8	          
CUSR0000SAH      	1986	M01	       110.1	          
CUSR0000SAH      	1986	M02	       110.0	          
CUSR0000SAH      	1986	M03	       110.3	          
CUSR0000SAH      	1986	M04	       110.4	          
CUSR0000SAH      	1986	M05	       110.4	          
CUSR0000SAH      	1986	M06	       110.9	          
CUSR0000SAH      	1986	M07	       110.9	          
CUSR0000SAH      	1986	M08	       111.1	          
CUSR0000SAH      	1986	M09	       111.5	          
CUSR0000SAH      	1986	M10	       111.6	          
CUSR0000SAH      	1986	M11	       111.6	          
CUSR0000SAH      	1986	M12	       111.9	          
CUSR0000SAH      	1987	M01	       112.3	          
CUSR0000SAH      	1987	M02	       112.7	          
CUSR0000SAH      	1987	M03	       113.0	          
CUSR0000SAH      	1987	M04	       113.5	          
CUSR0000SAH      	1987	M05	       113.8	          
CUSR0000SAH      	1987	M06	       114.1	          
CUSR0000SAH      	1987	M07	       114.3	          
CUSR0000SAH      	1987	M08	       114.9	          
CUSR0000SAH      	1987	M09	       115.2	          
CUSR0000SAH      	1987	M10	       115.5	          
CUSR0000SAH      	1987	M11	       115.8	          
CUSR0000SAH      	1987	M12	       116.1	          
CUSR0000SAH      	1988	M01	       116.4	          
CUSR0000SAH      	1988	M02	       116.8	          
CUSR0000SAH      	1988	M03	       117.2	          
CUSR0000SAH      	1988	M04	       117.6	          
CUSR0000SAH      	1988	M05	       117.9	          
CUSR0000SAH      	1988	M06	       118.3	          
CUSR0000SAH      	1988	M07	       118.6	          
CUSR0000SAH      	1988	M08	       119.0	          
CUSR0000SAH      	1988	M09	       119.5	          
CUSR0000SAH      	1988	M10	       119.9	          
CUSR0000SAH      	1988	M11	       120.2	          
CUSR0000SAH      	1988	M12	       120.6	          
CUSR0000SAH      	1989	M01	       120.9	          
CUSR0000SAH      	1989	M02	       121.1	          
CUSR0000SAH      	1989	M03	       121.5	          
CUSR0000SAH      	1989	M04	       121.9	          
CUSR0000SAH      	1989	M05	       122.3	          
