series_id	year	period	value	footnote_codes
CUSR0000SAT      	1947	M01	        17.9	          
CUSR0000SAT      	1947	M02	        17.9	          
CUSR0000SAT      	1947	M03	        18.1	          
CUSR0000SAT      	1947	M04	        18.3	          
CUSR0000SAT      	1947	M05	        18.3	          
CUSR0000SAT      	1947	M06	        18.4	          
CUSR0000SAT      	1947	M07	        18.5	          
CUSR0000SAT      	1947	M08	        18.5	          
CUSR0000SAT      	1947	M09	        18.7	          
CUSR0000SAT      	1947	M10	        18.8	          
CUSR0000SAT      	1947	M11	        19.0	          
CUSR0000SAT      	1947	M12	        19.1	          
CUSR0000SAT      	1948	M01	        19.6	          
CUSR0000SAT      	1948	M02	        19.5	          
CUSR0000SAT      	1948	M03	        19.6	          
CUSR0000SAT      	1948	M04	        19.9	          
CUSR0000SAT      	1948	M05	        19.9	          
CUSR0000SAT      	1948	M06	        20.0	          
CUSR0000SAT      	1948	M07	        21.0	          
CUSR0000SAT      	1948	M08	        21.3	          
CUSR0000SAT      	1948	M09	        21.4	          
CUSR0000SAT      	1948	M10	        21.5	          
CUSR0000SAT      	1948	M11	        21.6	          
CUSR0000SAT      	1948	M12	        21.6	          
CUSR0000SAT      	1949	M01	        21.6	          
CUSR0000SAT      	1949	M02	        21.8	          
CUSR0000SAT      	1949	M03	        21.9	          
CUSR0000SAT      	1949	M04	        22.0	          
CUSR0000SAT      	1949	M05	        22.2	          
CUSR0000SAT      	1949	M06	        22.1	          
CUSR0000SAT      	1949	M07	        22.2	          
CUSR0000SAT      	1949	M08	        22.3	          
CUSR0000SAT      	1949	M09	        22.2	          
CUSR0000SAT      	1949	M10	        22.3	          
CUSR0000SAT      	1949	M11	        22.3	          
CUSR0000SAT      	1949	M12	        22.5	          
CUSR0000SAT      	1950	M01	        22.4	          
CUSR0000SAT      	1950	M02	        22.4	          
CUSR0000SAT      	1950	M03	        22.4	          
CUSR0000SAT      	1950	M04	        22.4	          
CUSR0000SAT      	1950	M05	        22.5	          
CUSR0000SAT      	1950	M06	        22.5	          
CUSR0000SAT      	1950	M07	        22.7	          
CUSR0000SAT      	1950	M08	        22.9	          
CUSR0000SAT      	1950	M09	        22.9	          
CUSR0000SAT      	1950	M10	        22.9	          
CUSR0000SAT      	1950	M11	        23.0	          
CUSR0000SAT      	1950	M12	        23.2	          
CUSR0000SAT      	1951	M01	        23.3	          
CUSR0000SAT      	1951	M02	        23.6	          
CUSR0000SAT      	1951	M03	        23.8	          
CUSR0000SAT      	1951	M04	        23.9	          
CUSR0000SAT      	1951	M05	        24.0	          
CUSR0000SAT      	1951	M06	        24.1	          
CUSR0000SAT      	1951	M07	        24.1	          
CUSR0000SAT      	1951	M08	        24.2	          
CUSR0000SAT      	1951	M09	        24.4	          
CUSR0000SAT      	1951	M10	        24.5	          
CUSR0000SAT      	1951	M11	        24.8	          
CUSR0000SAT      	1951	M12	        24.9	          
CUSR0000SAT      	1952	M01	        25.0	          
CUSR0000SAT      	1952	M02	        25.2	          
CUSR0000SAT      	1952	M03	        25.3	          
CUSR0000SAT      	1952	M04	        25.5	          
CUSR0000SAT      	1952	M05	        25.6	          
CUSR0000SAT      	1952	M06	        25.8	          
CUSR0000SAT      	1952	M07	        26.0	          
CUSR0000SAT      	1952	M08	        25.9	          
CUSR0000SAT      	1952	M09	        26.0	          
CUSR0000SAT      	1952	M10	        26.1	          
CUSR0000SAT      	1952	M11	        26.2	          
CUSR0000SAT      	1952	M12	        26.2	          
CUSR0000SAT      	1953	M01	        26.3	          
CUSR0000SAT      	1953	M02	        26.2	          
CUSR0000SAT      	1953	M03	        26.3	          
CUSR0000SAT      	1953	M04	        26.4	          
CUSR0000SAT      	1953	M05	        26.4	          
CUSR0000SAT      	1953	M06	        26.5	          
CUSR0000SAT      	1953	M07	        26.6	          
CUSR0000SAT      	1953	M08	        26.7	          
CUSR0000SAT      	1953	M09	        26.7	          
CUSR0000SAT      	1953	M10	        26.6	          
CUSR0000SAT      	1953	M11	        26.3	          
CUSR0000SAT      	1953	M12	        26.2	          
CUSR0000SAT      	1954	M01	        26.5	          
CUSR0000SAT      	1954	M02	        26.3	          
CUSR0000SAT      	1954	M03	        26.3	          
CUSR0000SAT      	1954	M04	        26.4	          
CUSR0000SAT      	1954	M05	        26.4	          
CUSR0000SAT      	1954	M06	        26.4	          
CUSR0000SAT      	1954	M07	        26.0	          
CUSR0000SAT      	1954	M08	        25.9	          
CUSR0000SAT      	1954	M09	        25.9	          
CUSR0000SAT      	1954	M10	        25.4	          
CUSR0000SAT      	1954	M11	        25.8	          
CUSR0000SAT      	1954	M12	        25.8	          
CUSR0000SAT      	1955	M01	        25.9	          
CUSR0000SAT      	1955	M02	        25.9	          
CUSR0000SAT      	1955	M03	        25.9	          
CUSR0000SAT      	1955	M04	        25.6	          
CUSR0000SAT      	1955	M05	        25.7	          
CUSR0000SAT      	1955	M06	        25.8	          
CUSR0000SAT      	1955	M07	        25.7	          
CUSR0000SAT      	1955	M08	        25.6	          
CUSR0000SAT      	1955	M09	        25.7	          
CUSR0000SAT      	1955	M10	        25.8	          
CUSR0000SAT      	1955	M11	        26.0	          
CUSR0000SAT      	1955	M12	        25.8	          
CUSR0000SAT      	1956	M01	        25.8	          
CUSR0000SAT      	1956	M02	        25.8	          
CUSR0000SAT      	1956	M03	        25.8	          
CUSR0000SAT      	1956	M04	        25.8	          
