series_id	year	period	value	footnote_codes
CUSR0000SAM      	1947	M01	        13.2	          
CUSR0000SAM      	1947	M02	        13.3	          
CUSR0000SAM      	1947	M03	        13.3	          
CUSR0000SAM      	1947	M04	        13.4	          
CUSR0000SAM      	1947	M05	        13.5	          
CUSR0000SAM      	1947	M06	        13.5	          
CUSR0000SAM      	1947	M07	        13.5	          
CUSR0000SAM      	1947	M08	        13.6	          
CUSR0000SAM      	1947	M09	        13.7	          
CUSR0000SAM      	1947	M10	        13.8	          
CUSR0000SAM      	1947	M11	        13.8	          
CUSR0000SAM      	1947	M12	        13.9	          
CUSR0000SAM      	1948	M01	        14.0	          
CUSR0000SAM      	1948	M02	        14.0	          
CUSR0000SAM      	1948	M03	        14.1	          
CUSR0000SAM      	1948	M04	        14.3	          
CUSR0000SAM      	1948	M05	        14.3	          
CUSR0000SAM      	1948	M06	        14.4	          
CUSR0000SAM      	1948	M07	        14.5	          
CUSR0000SAM      	1948	M08	        14.6	          
CUSR0000SAM      	1948	M09	        14.5	          
CUSR0000SAM      	1948	M10	        14.6	          
CUSR0000SAM      	1948	M11	        14.7	          
CUSR0000SAM      	1948	M12	        14.7	          
CUSR0000SAM      	1949	M01	        14.7	          
CUSR0000SAM      	1949	M02	        14.8	          
CUSR0000SAM      	1949	M03	        14.8	          
CUSR0000SAM      	1949	M04	        14.8	          
CUSR0000SAM      	1949	M05	        14.8	          
CUSR0000SAM      	1949	M06	        14.8	          
CUSR0000SAM      	1949	M07	        14.8	          
CUSR0000SAM      	1949	M08	        14.9	          
CUSR0000SAM      	1949	M09	        14.9	          
CUSR0000SAM      	1949	M10	        14.9	          
CUSR0000SAM      	1949	M11	        14.9	          
CUSR0000SAM      	1949	M12	        14.9	          
CUSR0000SAM      	1950	M01	        14.9	          
CUSR0000SAM      	1950	M02	        15.0	          
CUSR0000SAM      	1950	M03	        14.9	          
CUSR0000SAM      	1950	M04	        15.0	          
CUSR0000SAM      	1950	M05	        15.0	          
CUSR0000SAM      	1950	M06	        15.0	          
CUSR0000SAM      	1950	M07	        15.1	          
CUSR0000SAM      	1950	M08	        15.1	          
CUSR0000SAM      	1950	M09	        15.2	          
CUSR0000SAM      	1950	M10	        15.3	          
CUSR0000SAM      	1950	M11	        15.3	          
CUSR0000SAM      	1950	M12	        15.4	          
CUSR0000SAM      	1951	M01	        15.4	          
CUSR0000SAM      	1951	M02	        15.5	          
CUSR0000SAM      	1951	M03	        15.7	          
CUSR0000SAM      	1951	M04	        15.7	          
CUSR0000SAM      	1951	M05	        15.8	          
CUSR0000SAM      	1951	M06	        15.8	          
CUSR0000SAM      	1951	M07	        15.8	          
CUSR0000SAM      	1951	M08	        15.9	          
CUSR0000SAM      	1951	M09	        15.9	          
CUSR0000SAM      	1951	M10	        16.0	          
CUSR0000SAM      	1951	M11	        16.1	          
CUSR0000SAM      	1951	M12	        16.3	          
CUSR0000SAM      	1952	M01	        16.3	          
CUSR0000SAM      	1952	M02	        16.4	          
CUSR0000SAM      	1952	M03	        16.5	          
CUSR0000SAM      	1952	M04	        16.5	          
CUSR0000SAM      	1952	M05	        16.5	          
CUSR0000SAM      	1952	M06	        16.8	          
CUSR0000SAM      	1952	M07	        16.9	          
CUSR0000SAM      	1952	M08	        16.9	          
CUSR0000SAM      	1952	M09	        16.9	          
CUSR0000SAM      	1952	M10	        16.9	          
CUSR0000SAM      	1952	M11	        16.9	          
CUSR0000SAM      	1952	M12	        17.0	          
CUSR0000SAM      	1953	M01	        17.0	          
CUSR0000SAM      	1953	M02	        17.0	          
CUSR0000SAM      	1953	M03	        17.0	          
CUSR0000SAM      	1953	M04	        17.1	          
CUSR0000SAM      	1953	M05	        17.2	          
CUSR0000SAM      	1953	M06	        17.3	          
CUSR0000SAM      	1953	M07	        17.3	          
CUSR0000SAM      	1953	M08	        17.4	          
CUSR0000SAM      	1953	M09	        17.5	          
CUSR0000SAM      	1953	M10	        17.5	          
CUSR0000SAM      	1953	M11	        17.6	          
CUSR0000SAM      	1953	M12	        17.6	          
CUSR0000SAM      	1954	M01	        17.6	          
CUSR0000SAM      	1954	M02	        17.7	          
CUSR0000SAM      	1954	M03	        17.7	          
CUSR0000SAM      	1954	M04	        17.8	          
CUSR0000SAM      	1954	M05	        17.8	          
CUSR0000SAM      	1954	M06	        17.8	          
CUSR0000SAM      	1954	M07	        17.8	          
CUSR0000SAM      	1954	M08	        17.9	          
CUSR0000SAM      	1954	M09	        17.9	          
CUSR0000SAM      	1954	M10	        17.9	          
CUSR0000SAM      	1954	M11	        18.0	          
CUSR0000SAM      	1954	M12	        18.0	          
CUSR0000SAM      	1955	M01	        18.0	          
CUSR0000SAM      	1955	M02	        18.1	          
CUSR0000SAM      	1955	M03	        18.1	          
CUSR0000SAM      	1955	M04	        18.1	          
CUSR0000SAM      	1955	M05	        18.2	          
CUSR0000SAM      	1955	M06	        18.2	          
CUSR0000SAM      	1955	M07	        18.2	          
CUSR0000SAM      	1955	M08	        18.3	          
CUSR0000SAM      	1955	M09	        18.3	          
CUSR0000SAM      	1955	M10	        18.4	          
CUSR0000SAM      	1955	M11	        18.5	          
CUSR0000SAM      	1955	M12	        18.6	          
CUSR0000SAM      	1956	M01	        18.6	          
CUSR0000SAM      	1956	M02	        18.7	          
CUSR0000SAM      	1956	M03	        18.7	          
CUSR0000SAM      	1956	M04	        18.8	          
CUSR0000SAM      	1956	M05	        18.8	          
CUSR0000SAM      	1956	M06	        18.8	          
CUSR0000SAM      	1956	M07	        18.9	          
CUSR0000SAM      	1956	M08	        19.0	          
CUSR0000SAM      	1956	M09	        19.1	          
CUSR0000SAM      	1956	M10	        19.1	          
CUSR0000SAM      	1956	M11	        19.1	          
CUSR0000SAM      	1956	M12	        19.2	          
CUSR0000SAM      	1957	M01	        19.3	          
CUSR0000SAM      	1957	M02	        19.3	          
CUSR0000SAM      	1957	M03	        19.4	          
CUSR0000SAM      	1957	M04	        19.5	          
CUSR0000SAM      	1957	M05	        19.6	          
CUSR0000SAM      	1957	M06	        19.7	          
CUSR0000SAM      	1957	M07	        19.7	          
CUSR0000SAM      	1957	M08	        19.8	          
CUSR0000SAM      	1957	M09	        19.8	          
CUSR0000SAM      	1957	M10	        19.9	          
CUSR0000SAM      	1957	M11	        20.0	          
CUSR0000SAM      	1957	M12	        20.1	          
CUSR0000SAM      	1958	M01	        20.2	          
CUSR0000SAM      	1958	M02	        20.2	          
CUSR0000SAM      	1958	M03	        20.3	          
CUSR0000SAM      	1958	M04	        20.4	          
CUSR0000SAM      	1958	M05	        20.5	          
CUSR0000SAM      	1958	M06	        20.6	          
CUSR0000SAM      	1958	M07	        20.7	          
CUSR0000SAM      	1958	M08	        20.7	          
CUSR0000SAM      	1958	M09	        20.9	          
CUSR0000SAM      	1958	M10	        21.0	          
CUSR0000SAM      	1958	M11	        21.0	          
CUSR0000SAM      	1958	M12	        21.1	          
CUSR0000SAM      	1959	M01	        21.1	          
CUSR0000SAM      	1959	M02	        21.2	          
CUSR0000SAM      	1959	M03	        21.3	          
