series_id	year	period	value	footnote_codes
CUSR0000SAR      	1993	M01	        89.7	          
CUSR0000SAR      	1993	M02	        90.0	          
CUSR0000SAR      	1993	M03	        90.4	          
CUSR0000SAR      	1993	M04	        90.7	          
CUSR0000SAR      	1993	M05	        90.3	          
CUSR0000SAR      	1993	M06	        90.6	          
CUSR0000SAR      	1993	M07	        90.6	          
CUSR0000SAR      	1993	M08	        90.9	          
CUSR0000SAR      	1993	M09	        91.3	          
CUSR0000SAR      	1993	M10	        91.7	          
CUSR0000SAR      	1993	M11	        91.9	          
CUSR0000SAR      	1993	M12	        92.0	          
CUSR0000SAR      	1994	M01	        92.3	          
CUSR0000SAR      	1994	M02	        92.5	          
CUSR0000SAR      	1994	M03	        92.7	          
CUSR0000SAR      	1994	M04	        92.7	          
CUSR0000SAR      	1994	M05	        92.8	          
CUSR0000SAR      	1994	M06	        92.7	          
CUSR0000SAR      	1994	M07	        92.8	          
CUSR0000SAR      	1994	M08	        92.7	          
CUSR0000SAR      	1994	M09	        92.9	          
CUSR0000SAR      	1994	M10	        93.0	          
CUSR0000SAR      	1994	M11	        93.4	          
CUSR0000SAR      	1994	M12	        93.2	          
CUSR0000SAR      	1995	M01	        93.7	          
CUSR0000SAR      	1995	M02	        93.9	          
CUSR0000SAR      	1995	M03	        94.0	          
CUSR0000SAR      	1995	M04	        94.4	          
CUSR0000SAR      	1995	M05	        94.6	          
CUSR0000SAR      	1995	M06	        94.3	          
CUSR0000SAR      	1995	M07	        94.4	          
CUSR0000SAR      	1995	M08	        94.7	          
CUSR0000SAR      	1995	M09	        95.1	          
CUSR0000SAR      	1995	M10	        95.3	          
CUSR0000SAR      	1995	M11	        95.7	          
CUSR0000SAR      	1995	M12	        95.8	          
CUSR0000SAR      	1996	M01	        96.2	          
CUSR0000SAR      	1996	M02	        96.9	          
CUSR0000SAR      	1996	M03	        97.0	          
CUSR0000SAR      	1996	M04	        97.2	          
CUSR0000SAR      	1996	M05	        97.3	          
