series_id	year	period	value	footnote_codes
CUUR0100AA0      	1966	M12	        52.9	          
CUUR0100AA0      	1967	M03	        53.2	          
CUUR0100AA0      	1967	M06	        53.5	          
CUUR0100AA0      	1967	M09	        53.9	          
CUUR0100AA0      	1967	M12	        54.3	          
CUUR0100AA0      	1967	M13	        53.6	          
CUUR0100AA0      	1968	M03	        55.0	          
CUUR0100AA0      	1968	M06	        55.7	          
CUUR0100AA0      	1968	M09	        56.5	          
CUUR0100AA0      	1968	M12	        57.2	          
CUUR0100AA0      	1968	M13	        55.8	          
CUUR0100AA0      	1969	M03	        58.0	          
CUUR0100AA0      	1969	M06	        59.0	          
CUUR0100AA0      	1969	M09	        59.8	          
CUUR0100AA0      	1969	M12	        60.8	          
CUUR0100AA0      	1969	M13	        59.1	          
CUUR0100AA0      	1970	M03	        62.0	          
CUUR0100AA0      	1970	M06	        62.9	          
CUUR0100AA0      	1970	M09	        63.7	          
CUUR0100AA0      	1970	M12	        64.7	          
CUUR0100AA0      	1970	M13	        63.0	          
CUUR0100AA0      	1971	M03	        65.5	          
CUUR0100AA0      	1971	M06	        66.5	          
CUUR0100AA0      	1971	M09	        66.9	          
CUUR0100AA0      	1971	M12	        67.4	          
CUUR0100AA0      	1971	M13	        66.3	          
CUUR0100AA0      	1972	M03	        68.2	          
CUUR0100AA0      	1972	M06	        68.7	          
CUUR0100AA0      	1972	M09	        69.5	          
CUUR0100AA0      	1972	M12	        70.0	          
CUUR0100AA0      	1972	M13	        68.9	          
CUUR0100AA0      	1973	M03	        71.5	          
CUUR0100AA0      	1973	M06	        72.9	          
CUUR0100AA0      	1973	M09	        74.4	          
CUUR0100AA0      	1973	M12	        76.4	          
CUUR0100AA0      	1973	M13	        73.3	          
CUUR0100AA0      	1974	M03	        79.0	          
CUUR0100AA0      	1974	M06	        80.8	          
CUUR0100AA0      	1974	M09	        83.3	          
CUUR0100AA0      	1974	M12	        85.2	          
CUUR0100AA0      	1974	M13	        81.4	          
CUUR0100AA0      	1975	M03	        86.1	          
CUUR0100AA0      	1975	M06	        87.4	          
CUUR0100AA0      	1975	M09	        89.1	          
CUUR0100AA0      	1975	M12	        90.7	          
CUUR0100AA0      	1975	M13	        87.9	          
CUUR0100AA0      	1976	M03	        91.5	          
CUUR0100AA0      	1976	M06	        92.7	          
CUUR0100AA0      	1976	M09	        93.9	          
CUUR0100AA0      	1976	M12	        94.7	          
CUUR0100AA0      	1976	M13	        92.9	          
CUUR0100AA0      	1977	M03	        96.6	          
CUUR0100AA0      	1977	M06	        98.3	          
CUUR0100AA0      	1977	M09	        99.1	          
CUUR0100AA0      	1977	M12	       100.0	          
CUUR0100AA0      	1977	M13	        98.1	          
CUUR0100AA0      	1978	M02	       101.0	          
CUUR0100AA0      	1978	M04	       102.5	          
CUUR0100AA0      	1978	M06	       104.3	          
CUUR0100AA0      	1978	M08	       105.4	          
CUUR0100AA0      	1978	M10	       106.8	          
CUUR0100AA0      	1978	M12	       107.9	          
CUUR0100AA0      	1978	M13	       104.3	          
CUUR0100AA0      	1979	M02	       110.0	          
CUUR0100AA0      	1979	M04	       111.9	          
CUUR0100AA0      	1979	M06	       114.2	          
CUUR0100AA0      	1979	M08	       116.2	          
CUUR0100AA0      	1979	M10	       118.7	          
CUUR0100AA0      	1979	M12	       120.6	          
CUUR0100AA0      	1979	M13	       114.7	          
CUUR0100AA0      	1980	M02	       123.7	          
CUUR0100AA0      	1980	M04	       126.8	          
CUUR0100AA0      	1980	M06	       129.1	          
CUUR0100AA0      	1980	M08	       131.6	          
CUUR0100AA0      	1980	M10	       133.4	          
CUUR0100AA0      	1980	M12	       135.8	          
CUUR0100AA0      	1980	M13	       129.4	          
CUUR0100AA0      	1981	M02	       138.8	          
CUUR0100AA0      	1981	M04	       140.5	          
CUUR0100AA0      	1981	M06	       142.6	          
CUUR0100AA0      	1981	M08	       145.6	          
CUUR0100AA0      	1981	M10	       147.2	          
CUUR0100AA0      	1981	M12	       148.0	          
CUUR0100AA0      	1981	M13	       143.3	          
CUUR0100AA0      	1982	M02	       147.6	          
CUUR0100AA0      	1982	M04	       147.2	          
CUUR0100AA0      	1982	M06	       151.7	          
CUUR0100AA0      	1982	M08	       152.1	          
CUUR0100AA0      	1982	M10	       154.0	          
CUUR0100AA0      	1982	M12	       153.9	          
CUUR0100AA0      	1982	M13	       150.8	          
CUUR0100AA0      	1983	M02	       154.6	          
CUUR0100AA0      	1983	M04	       155.8	          
CUUR0100AA0      	1983	M06	       156.7	          
CUUR0100AA0      	1983	M08	       157.8	          
CUUR0100AA0      	1983	M10	       159.3	          
CUUR0100AA0      	1983	M12	       160.1	          
CUUR0100AA0      	1983	M13	       157.1	          
CUUR0100AA0      	1984	M02	       162.4	          
CUUR0100AA0      	1984	M04	       163.4	          
CUUR0100AA0      	1984	M06	       164.0	          
CUUR0100AA0      	1984	M08	       165.4	          
CUUR0100AA0      	1984	M10	       166.5	          
CUUR0100AA0      	1984	M12	       166.9	          
CUUR0100AA0      	1984	M13	       164.5	          
CUUR0100AA0      	1985	M02	       168.2	          
CUUR0100AA0      	1985	M04	       169.8	          
CUUR0100AA0      	1985	M06	       170.4	          
CUUR0100AA0      	1985	M08	       171.0	          
CUUR0100AA0      	1985	M10	       172.5	          
CUUR0100AA0      	1985	M12	       174.3	          
CUUR0100AA0      	1985	M13	       170.7	          
CUUR0100AA0      	1986	M02	       174.5	          
CUUR0100AA0      	1986	M04	       173.7	          
CUUR0100AA0      	1986	M06	       174.2	          
CUUR0100AA0      	1986	M08	       175.0	          
CUUR0100AA0      	1986	M10	       176.4	          
CUUR0100AA0      	1986	M12	       177.2	          
CUUR0100AA0      	1986	M13	       175.0	          
CUUR0100AA0      	1987	M01	       178.4	          
CUUR0100AA0      	1987	M02	       179.0	          
CUUR0100AA0      	1987	M03	       179.9	          
CUUR0100AA0      	1987	M04	       181.0	          
CUUR0100AA0      	1987	M05	       181.7	          
CUUR0100AA0      	1987	M06	       182.4	          
CUUR0100AA0      	1987	M07	       182.7	          
CUUR0100AA0      	1987	M08	       184.1	          
CUUR0100AA0      	1987	M09	       185.1	          
CUUR0100AA0      	1987	M10	       185.9	          
CUUR0100AA0      	1987	M11	       186.2	          
CUUR0100AA0      	1987	M12	       186.3	          
CUUR0100AA0      	1987	M13	       182.7	          
CUUR0100AA0      	1988	M01	       187.3	          
CUUR0100AA0      	1988	M02	       187.6	          
CUUR0100AA0      	1988	M03	       188.3	          
CUUR0100AA0      	1988	M04	       189.6	          
CUUR0100AA0      	1988	M05	       190.1	          
CUUR0100AA0      	1988	M06	       191.1	          
