series_id	year	period	value	footnote_codes
CUUR0200AA0      	1966	M12	        53.6	          
CUUR0200AA0      	1967	M03	        53.8	          
CUUR0200AA0      	1967	M06	        54.2	          
CUUR0200AA0      	1967	M09	        54.8	          
CUUR0200AA0      	1967	M12	        55.4	          
CUUR0200AA0      	1967	M13	        54.4	          
CUUR0200AA0      	1968	M03	        56.0	          
CUUR0200AA0      	1968	M06	        56.7	          
CUUR0200AA0      	1968	M09	        57.3	          
CUUR0200AA0      	1968	M12	        57.8	          
CUUR0200AA0      	1968	M13	        56.7	          
CUUR0200AA0      	1969	M03	        58.7	          
CUUR0200AA0      	1969	M06	        59.6	          
CUUR0200AA0      	1969	M09	        60.5	          
CUUR0200AA0      	1969	M12	        61.4	          
CUUR0200AA0      	1969	M13	        59.8	          
CUUR0200AA0      	1970	M03	        62.2	          
CUUR0200AA0      	1970	M06	        63.1	          
CUUR0200AA0      	1970	M09	        63.8	          
CUUR0200AA0      	1970	M12	        64.5	          
CUUR0200AA0      	1970	M13	        63.2	          
CUUR0200AA0      	1971	M03	        64.7	          
CUUR0200AA0      	1971	M06	        65.6	          
CUUR0200AA0      	1971	M09	        65.9	          
CUUR0200AA0      	1971	M12	        66.4	          
CUUR0200AA0      	1971	M13	        65.5	          
CUUR0200AA0      	1972	M03	        66.9	          
CUUR0200AA0      	1972	M06	        67.4	          
CUUR0200AA0      	1972	M09	        67.9	          
CUUR0200AA0      	1972	M12	        68.4	          
CUUR0200AA0      	1972	M13	        67.5	          
CUUR0200AA0      	1973	M03	        69.7	          
CUUR0200AA0      	1973	M06	        71.2	          
CUUR0200AA0      	1973	M09	        72.9	          
CUUR0200AA0      	1973	M12	        74.3	          
CUUR0200AA0      	1973	M13	        71.5	          
CUUR0200AA0      	1974	M03	        76.8	          
CUUR0200AA0      	1974	M06	        78.9	          
CUUR0200AA0      	1974	M09	        81.1	          
CUUR0200AA0      	1974	M12	        83.2	          
CUUR0200AA0      	1974	M13	        79.3	          
CUUR0200AA0      	1975	M03	        84.4	          
CUUR0200AA0      	1975	M06	        86.0	          
CUUR0200AA0      	1975	M09	        87.5	          
CUUR0200AA0      	1975	M12	        88.8	          
CUUR0200AA0      	1975	M13	        86.2	          
CUUR0200AA0      	1976	M03	        89.5	          
CUUR0200AA0      	1976	M06	        91.1	          
CUUR0200AA0      	1976	M09	        92.4	          
CUUR0200AA0      	1976	M12	        93.3	          
CUUR0200AA0      	1976	M13	        91.2	          
CUUR0200AA0      	1977	M03	        95.6	          
CUUR0200AA0      	1977	M06	        97.7	          
CUUR0200AA0      	1977	M09	        98.8	          
CUUR0200AA0      	1977	M12	       100.0	          
CUUR0200AA0      	1977	M13	        97.4	          
CUUR0200AA0      	1978	M02	       101.4	          
CUUR0200AA0      	1978	M04	       103.2	          
CUUR0200AA0      	1978	M06	       105.2	          
CUUR0200AA0      	1978	M08	       106.4	          
CUUR0200AA0      	1978	M10	       108.4	          
CUUR0200AA0      	1978	M12	       110.0	          
CUUR0200AA0      	1978	M13	       105.3	          
CUUR0200AA0      	1979	M02	       112.4	          
CUUR0200AA0      	1979	M04	       115.0	          
CUUR0200AA0      	1979	M06	       117.7	          
CUUR0200AA0      	1979	M08	       120.3	          
CUUR0200AA0      	1979	M10	       122.6	          
CUUR0200AA0      	1979	M12	       125.1	          
CUUR0200AA0      	1979	M13	       118.2	          
CUUR0200AA0      	1980	M02	       128.0	          
CUUR0200AA0      	1980	M04	       131.3	          
CUUR0200AA0      	1980	M06	       134.7	          
CUUR0200AA0      	1980	M08	       134.9	          
CUUR0200AA0      	1980	M10	       138.3	          
CUUR0200AA0      	1980	M12	       140.4	          
CUUR0200AA0      	1980	M13	       134.0	          
CUUR0200AA0      	1981	M02	       142.3	          
CUUR0200AA0      	1981	M04	       143.7	          
CUUR0200AA0      	1981	M06	       146.9	          
CUUR0200AA0      	1981	M08	       149.3	          
CUUR0200AA0      	1981	M10	       149.8	          
CUUR0200AA0      	1981	M12	       150.3	          
CUUR0200AA0      	1981	M13	       146.6	          
CUUR0200AA0      	1982	M02	       152.1	          
CUUR0200AA0      	1982	M04	       154.1	          
CUUR0200AA0      	1982	M06	       157.6	          
CUUR0200AA0      	1982	M08	       160.5	          
CUUR0200AA0      	1982	M10	       160.4	          
CUUR0200AA0      	1982	M12	       159.7	          
CUUR0200AA0      	1982	M13	       157.0	          
CUUR0200AA0      	1983	M02	       159.8	          
CUUR0200AA0      	1983	M04	       161.2	          
CUUR0200AA0      	1983	M06	       162.5	          
CUUR0200AA0      	1983	M08	       163.7	          
CUUR0200AA0      	1983	M10	       164.6	          
CUUR0200AA0      	1983	M12	       165.1	          
CUUR0200AA0      	1983	M13	       162.6	          
CUUR0200AA0      	1984	M02	       166.2	          
CUUR0200AA0      	1984	M04	       167.3	          
CUUR0200AA0      	1984	M06	       168.5	          
CUUR0200AA0      	1984	M08	       169.7	          
CUUR0200AA0      	1984	M10	       170.6	          
CUUR0200AA0      	1984	M12	       170.4	          
CUUR0200AA0      	1984	M13	       168.6	          
