series_id	year	period	value	footnote_codes
CUUR0300AA0      	1966	M12	        52.2	          
CUUR0300AA0      	1967	M03	        52.3	          
CUUR0300AA0      	1967	M06	        52.8	          
CUUR0300AA0      	1967	M09	        53.2	          
CUUR0300AA0      	1967	M12	        53.7	          
CUUR0300AA0      	1967	M13	        52.9	          
CUUR0300AA0      	1968	M03	        54.3	          
CUUR0300AA0      	1968	M06	        55.0	          
CUUR0300AA0      	1968	M09	        55.7	          
CUUR0300AA0      	1968	M12	        56.4	          
CUUR0300AA0      	1968	M13	        55.1	          
CUUR0300AA0      	1969	M03	        57.4	          
CUUR0300AA0      	1969	M06	        58.2	          
CUUR0300AA0      	1969	M09	        59.0	          
CUUR0300AA0      	1969	M12	        59.9	          
CUUR0300AA0      	1969	M13	        58.4	          
CUUR0300AA0      	1970	M03	        60.6	          
CUUR0300AA0      	1970	M06	        61.5	          
CUUR0300AA0      	1970	M09	        62.1	          
CUUR0300AA0      	1970	M12	        62.9	          
CUUR0300AA0      	1970	M13	        61.5	          
CUUR0300AA0      	1971	M03	        63.2	          
CUUR0300AA0      	1971	M06	        64.2	          
CUUR0300AA0      	1971	M09	        64.4	          
CUUR0300AA0      	1971	M12	        65.0	          
CUUR0300AA0      	1971	M13	        64.0	          
CUUR0300AA0      	1972	M03	        65.3	          
CUUR0300AA0      	1972	M06	        65.9	          
CUUR0300AA0      	1972	M09	        66.4	          
CUUR0300AA0      	1972	M12	        66.9	          
CUUR0300AA0      	1972	M13	        66.0	          
CUUR0300AA0      	1973	M03	        68.3	          
CUUR0300AA0      	1973	M06	        69.8	          
CUUR0300AA0      	1973	M09	        71.8	          
CUUR0300AA0      	1973	M12	        73.4	          
CUUR0300AA0      	1973	M13	        70.3	          
CUUR0300AA0      	1974	M03	        75.8	          
CUUR0300AA0      	1974	M06	        78.1	          
CUUR0300AA0      	1974	M09	        81.2	          
CUUR0300AA0      	1974	M12	        83.2	          
CUUR0300AA0      	1974	M13	        78.8	          
CUUR0300AA0      	1975	M03	        84.6	          
CUUR0300AA0      	1975	M06	        86.3	          
CUUR0300AA0      	1975	M09	        87.9	          
CUUR0300AA0      	1975	M12	        89.2	          
CUUR0300AA0      	1975	M13	        86.5	          
CUUR0300AA0      	1976	M03	        89.7	          
CUUR0300AA0      	1976	M06	        91.2	          
