,VEHQ,BEDROOMQ,STATE,SAVACCTX,EARNCOMP,NEWID,AGE_REF,SWIMPOOL,HLFBATHQ,FINDRETX,INCLASS,SEX2,OCCUCOD1,OCCUCOD2,NO_EARNR,SECESTX,RACE2,REF_RACE,VEHQL,FAM_SIZE,SEX_REF,PERSLT18,POVLEVCY,BATHRMQ,AGE2,TOTEXPCQ,PERSOT64,INC_RANK,NUM_AUTO,TOTEXPPQ,REGION,Entertainment,Misc,Housing,housing,Neccessities,Type_home,Income,Transportation,Medical
0,5,4,9.0,89000,2,2511505,59,1.0,1,0,9,2.0,12.0,2.0,2,150000,1.0,1,0,2,1,0,15989,2,57,0.0,0,0.7373,1,19665.7501,1.0,441.0,291.0,2878.0,6.0,4776.0,1,111523.7501,8866.0,494.0
1,1,2,36.0,600,8,2511555,49,,0,0,1,,,,0,.,,1,0,1,2,0,12424,1,.,0.0,0,0.0149,1,9314.0,1.0,166.0,765.0,5451.0,6.0,1530.0,8,1700.0,2348.0,753.0
2,3,4,6.0,39000,1,2511565,62,,0,0,5,,4.0,,1,300000,,1,0,1,2,0,12424,2,.,0.0,0,0.2342,2,7291.8,4.0,716.0,270.0,2705.0,0.0,4391.0,1,21185.8,2210.0,500.0
3,1,2,36.0,.,2,2511575,35,,0,0,9,2.0,1.0,2.0,2,.,1.0,1,0,4,1,2,24219,1,31,0.0,0,0.7905,1,19083.9999,1.0,1070.0,538.0,7765.0,5.0,7210.0,8,189811.4999,7314.0,450.0
4,3,3,2.0,8000,1,2511585,57,,1,2400,7,1.0,3.0,,1,350000,1.0,1,0,2,2,0,15989,2,57,0.0,0,0.4921,1,16860.0001,4.0,1525.0,409.0,3743.5,0.0,11113.0,1,48149.5001,5900.0,519.0
5,3,3,25.0,5000,2,2511595,54,1.0,0,0,9,2.0,3.0,3.0,2,.,1.0,1,0,2,1,0,15989,2,54,0.0,0,0.8737,1,14825.5001,1.0,743.0,672.0,3932.0,0.0,6621.0,1,242870.5001,4914.0,373.0
6,1,2,34.0,.,2,2511615,37,,1,0,9,2.0,8.0,4.0,2,.,1.0,1,1,2,1,0,15989,1,29,0.0,0,0.894,1,21439.25,1.0,420.0,330.0,12826.0,5.0,5270.0,4,262486.25,6170.0,107.0
7,2,4,6.0,4000,2,2511625,28,,0,0,8,1.0,2.0,2.0,2,.,1.0,1,0,3,2,1,19219,2,32,0.0,0,0.6131,2,12083.5,4.0,392.0,390.0,5998.0,0.0,4280.0,1,121447.5,2100.0,671.0
8,0,1,15.0,0,8,2511645,52,1.0,0,0,3,,,,0,.,,6,0,1,1,0,12424,1,.,0.0,0,0.098,0,2212.0,4.0,90.0,91.0,948.0,6.0,1082.0,7,11172.0,540.0,285.0
9,3,4,6.0,2000,4,2511675,62,,1,4000,9,,3.0,,2,.,,4,0,3,1,0,18680,2,.,0.0,0,0.8753,2,17154.8,4.0,237.0,528.0,3753.0,0.0,8871.0,1,227483.8,8011.0,2050.0
10,1,3,12.0,14346,8,2511695,64,1.0,0,0,9,1.0,,,0,2211492,1.0,1,1,2,2,0,15989,2,68,0.0,1,0.7063,1,35715.45,3.0,2663.0,630.0,11405.75,5.0,8715.0,1,75579.0,14045.0,5273.7
11,3,3,,14000,2,2511735,61,,0,6000,9,2.0,15.0,4.0,2,120000,1.0,1,0,2,1,0,15989,2,60,0.0,0,0.461,0,15354.4426,2.0,443.0,177.0,3751.5,5.0,3095.0,1,86928.94260000001,1676.0,3630.0
12,2,3,12.0,0,8,2511765,67,,0,0,6,2.0,,,0,.,1.0,1,0,2,1,0,14430,2,65,0.0,2,0.4446,1,8021.4,3.0,109.0,300.0,2916.0,5.0,5060.0,1,39542.0,2764.0,674.4
13,1,2,31.0,2000,1,2511795,23,,0,550,5,,1.0,,1,.,,1,0,2,2,0,15989,1,.,0.0,0,0.2651,1,4584.9498,2.0,155.0,15.0,2258.0,0.0,1662.0,1,48669.9498,1096.0,0.0
14,2,3,,0,8,2511815,67,,0,0,4,,,,0,.,,1,0,3,2,1,19219,2,.,0.0,1,0.206,2,17403.95,3.0,902.0,1105.0,3650.25,5.0,1750.0,1,18796.0,4924.0,2899.7
15,1,4,8.0,.,4,2511825,49,,0,0,9,,1.0,,2,.,,1,0,2,1,0,15989,2,.,0.0,0,0.9436,1,18655.2501,4.0,531.0,156.0,7176.0,0.0,9360.0,1,325079.2501,2769.0,270.0
16,0,3,,.,2,2511855,66,,0,0,6,1.0,10.0,10.0,2,.,1.0,1,0,2,2,0,14430,2,63,0.0,1,.,0,5872.55,3.0,132.0,105.0,3121.0,5.0,2600.0,2,719.55,1800.0,0.0
17,2,4,29.0,35000,5,2511905,68,,1,0,9,2.0,,4.0,1,1500000,1.0,1,0,2,1,0,14430,2,67,0.0,2,0.7257,0,22255.15,2.0,2629.0,532.0,4082.0,5.0,9599.0,1,99550.5,2532.0,3673.4
18,2,3,12.0,0,1,2511955,56,1.0,0,0,5,1.0,5.0,,1,.,1.0,1,0,2,2,0,15989,2,60,0.0,0,0.3089,1,7525.0,3.0,375.0,465.0,1886.0,5.0,4700.0,1,51659.0,3620.0,50.0
19,2,4,,.,2,2511965,38,,1,0,9,1.0,3.0,3.0,2,.,4.0,4,0,4,2,2,24219,4,40,0.0,0,0.9666,1,23428.0,3.0,765.0,360.0,15268.0,5.0,2880.0,1,403825.0,2160.0,400.0
20,0,2,39.0,0,8,2511975,87,,0,0,4,,,,0,.,,1,1,1,2,0,11452,1,.,0.0,1,0.2187,0,4665.95,2.0,255.0,90.0,1012.25,5.0,1612.0,1,19859.0,2040.0,1318.7
21,2,3,45.0,600,4,2511985,18,1.0,0,0,6,,5.0,,2,.,,1,0,3,2,1,19219,2,.,0.0,0,0.3555,2,8993.0001,3.0,349.0,240.0,3601.0,5.0,3469.0,8,62593.000100000005,3212.0,662.0
22,7,4,24.0,3500,3,2511995,59,,1,8400,9,2.0,14.0,1.0,4,152000,1.0,1,0,4,1,0,24631,2,51,0.0,0,0.9199,3,26483.4998,3.0,2500.0,725.0,6419.0,5.0,6911.0,1,288424.4998,9930.5,1894.0
23,0,3,48.0,0,8,2512005,69,,0,0,5,,,,0,.,,1,0,1,2,0,11452,2,.,0.0,1,0.2372,0,4731.95,3.0,554.0,150.0,1714.25,5.0,1640.0,9,21459.0,540.0,1165.7
24,6,4,33.0,20000,3,2512045,51,,1,0,9,1.0,5.0,15.0,5,.,1.0,1,0,7,2,1,39553,1,51,0.0,1,0.7783,3,19367.15,1.0,667.0,1290.0,4677.0,5.0,7735.0,1,172235.2,13567.0,824.7
