salary,family_size,housing_tenure,state,own,rent
29207,2,own,9.0,1.0,0.0
0,1,rent,36.0,0.0,1.0
0,1,own,6.0,1.0,0.0
94000,4,own,36.0,1.0,0.0
3000,2,own,2.0,1.0,0.0
120000,2,own,25.0,1.0,0.0
130000,2,own,34.0,1.0,0.0
60000,3,rent,6.0,0.0,1.0
0,1,rent,15.0,0.0,1.0
104000,3,own,6.0,1.0,0.0
0,2,own,12.0,1.0,0.0
41340,2,own,,1.0,0.0
0,2,own,12.0,1.0,0.0
24000,2,rent,31.0,0.0,1.0
0,3,own,,1.0,0.0
161000,2,own,8.0,1.0,0.0
0,2,own,,1.0,0.0
20000,2,own,29.0,1.0,0.0
24000,2,own,12.0,1.0,0.0
200000,4,own,,1.0,0.0
0,1,own,39.0,1.0,0.0
31000,3,rent,45.0,0.0,1.0
138839,4,own,24.0,1.0,0.0
0,1,own,48.0,1.0,0.0
79500,7,own,33.0,1.0,0.0
35520,4,rent,6.0,0.0,1.0
15000,2,rent,41.0,0.0,1.0
107000,3,rent,6.0,0.0,1.0
48000,3,rent,26.0,0.0,1.0
67000,5,own,31.0,1.0,0.0
83000,1,own,42.0,1.0,0.0
124000,5,own,,1.0,0.0
130000,2,rent,6.0,0.0,1.0
150000,4,own,13.0,1.0,0.0
15000,2,own,,1.0,0.0
0,1,own,4.0,1.0,0.0
109000,2,own,51.0,1.0,0.0
40000,2,own,26.0,1.0,0.0
12000,6,rent,36.0,0.0,1.0
0,1,own,,1.0,0.0
0,1,own,36.0,1.0,0.0
0,5,own,34.0,1.0,0.0
70000,2,rent,53.0,0.0,1.0
14000,5,rent,55.0,0.0,1.0
38000,3,own,26.0,1.0,0.0
0,1,rent,6.0,0.0,1.0
117000,2,own,6.0,1.0,0.0
77000,2,own,42.0,1.0,0.0
46000,3,rent,,0.0,1.0
0,2,own,,1.0,0.0
0,5,rent,17.0,0.0,1.0
0,2,own,23.0,1.0,0.0
0,2,own,23.0,1.0,0.0
44000,1,own,42.0,1.0,0.0
2000,6,own,,1.0,0.0
90000,2,own,,1.0,0.0
0,1,own,13.0,1.0,0.0
90000,4,own,22.0,1.0,0.0
28000,3,own,21.0,1.0,0.0
0,6,own,6.0,1.0,0.0
0,1,own,13.0,1.0,0.0
34000,1,own,6.0,1.0,0.0
0,2,own,6.0,1.0,0.0
34000,4,rent,6.0,0.0,1.0
0,1,rent,36.0,0.0,1.0
0,3,own,36.0,1.0,0.0
103000,2,own,31.0,1.0,0.0
35000,2,rent,34.0,0.0,1.0
113000,4,own,33.0,1.0,0.0
22000,2,own,42.0,1.0,0.0
0,4,rent,22.0,0.0,1.0
150000,2,rent,15.0,0.0,1.0
16500,3,own,,1.0,0.0
44000,1,own,24.0,1.0,0.0
20000,4,rent,4.0,0.0,1.0
0,1,own,48.0,1.0,0.0
0,6,rent,32.0,0.0,1.0
7860,2,rent,17.0,0.0,1.0
55000,5,own,48.0,1.0,0.0
100000,4,own,42.0,1.0,0.0
0,1,own,39.0,1.0,0.0
113000,3,own,6.0,1.0,0.0
34000,1,own,31.0,1.0,0.0
0,2,own,4.0,1.0,0.0
82000,4,own,15.0,1.0,0.0
96000,5,own,9.0,1.0,0.0
254200,4,own,36.0,1.0,0.0
50000,6,rent,51.0,0.0,1.0
0,2,own,16.0,1.0,0.0
0,4,rent,6.0,0.0,1.0
14000,1,own,42.0,1.0,0.0
45000,2,rent,6.0,0.0,1.0
0,1,rent,39.0,0.0,1.0
65000,1,own,48.0,1.0,0.0
21600,3,own,22.0,1.0,0.0
0,3,own,6.0,1.0,0.0
55000,3,own,,1.0,0.0
0,4,own,39.0,1.0,0.0
55000,2,own,13.0,1.0,0.0
0,5,own,2.0,1.0,0.0
95200,4,own,36.0,1.0,0.0
61400,3,own,22.0,1.0,0.0
0,1,own,6.0,1.0,0.0
72000,3,own,25.0,1.0,0.0
15000,2,own,17.0,1.0,0.0
26196,2,rent,26.0,0.0,1.0
0,1,rent,36.0,0.0,1.0
72000,1,rent,42.0,0.0,1.0
265049,1,own,48.0,1.0,0.0
19000,1,rent,,0.0,1.0
